"","queried_ursi","age","sex","firstSum","secondSum","allSum","past","positive","future","negative","friends","specific_vague","words","images","EHI","MeanFD"
"32",126919,24,"female",85,33,118,-0.111126484207636,-1.09437519722988,0.384386336340746,-0.236913847179474,1.61234537705609,-0.0322158871813194,0.426979536285268,1.2073687609964,45,0.2834
"33",131127,34,"female",99,29,128,0.280205538778077,-1.24427042869822,1.8905991725463,0.999660746046705,0.270617056715371,-0.255279133249587,-2.1327983485396,1.19189710665851,100,0.2264
"34",131832,47,"male",54,42,96,-0.950765152820555,0.658912586728585,0.51239091046098,-0.481553427495507,-0.63632464201335,0.684067944052875,0.988672422664978,-0.69589127586248,90,0.2265
"35",132717,54,"female",82,20,102,-0.20027147738059,-1.67557930253969,1.58836605790836,0.223969899875468,-2.85640281816782,-0.887412842004157,0.445325613627867,-1.5193680464906,95,0.2871
"36",132995,49,"female",86,24,110,-0.0837603140092657,-1.88048633556814,0.896247431977749,0.635388585805462,0.463799499380472,-0.705156868665747,1.09910290186744,-0.0989392024031257,100,0.2188
"37",134795,18,"male",61,33,94,-0.682208065470331,0.0929055265539259,-0.486665823105846,-0.260837731527403,-0.670217039482804,0.354206438630288,-0.90565357531304,0.215144567889104,90,0.1964
"38",135671,26,"female",108,41,149,0.628597121350791,0.266532389068993,-0.830952830795053,-0.535599310692885,0.104466487593283,0.667996471436375,-1.74679593618393,2.32577399651714,75,0.1449
"39",136303,23,"female",83,24,107,-0.106894279802513,-0.74473269274058,-0.124884459799684,-0.790852593104929,-0.655088717934974,-0.691375723052362,-0.491299953234952,-1.30375178366799,70,0.2673
"40",136416,51,"female",198,72,270,2.84299198085749,1.8903749666001,0.617778628709442,1.47274264281496,-0.182340249468998,3.11799749682336,-0.495681268646696,0.375187512277355,70,0.1858
"41",137073,30,"male",111,16,127,0.742924185455637,-1.57954774775597,0.0384100266024636,-0.90569492424481,0.13840495700197,-1.28760586250538,-1.66987454244735,0.488844621637342,55,0.7251
"42",137496,23,"female",97,30,127,0.254430587470759,-0.411621778278526,-1.45028682023503,0.65439466105938,-0.129198543428607,-0.176426113805142,-0.963858037050931,-0.141735801335338,85,0.1828
